b_phi_iqr,b_phi_sd,b_dW_iqr,b_dW_sd,a_zero,M_iqr_phi,M_iqr_dW,n_bins,n_rt,cond,seed
0.10507704780667289,0.21544812034354402,0.017418413565229187,0.03968587345983072,0.26975438666407353,0.614509867799027,0.3100318272768329,10,4657,C2,1018
0.1223659993210817,0.22375660137972972,0.020423783702601398,-0.0006066807956355867,0.36158353081048056,0.7669383576562359,0.31666666666666665,9,5487,C2,1019
0.262381164449734,0.2917707042404291,0.22072335930242953,0.1486967556062774,0.3337565751808417,0.848934830938402,0.686933264358473,10,3989,C2,1020
0.09060081494073301,0.2658995951491228,0.013859615242620669,0.32412630260336084,0.13204020397600105,0.772315083521806,0.11866111313364182,9,7152,C2,1021
0.08378077473924085,0.19144499109970567,-0.06379575637888112,0.5724537068406785,0.11577831251727674,0.6075745430783167,0.11666666666666665,9,3336,C2,1022
0.2259921786770727,0.2698185049905668,0.1477842289274727,0.09365548343881644,0.8503544774895476,0.9047627749926196,0.836827408755723,9,5691,C2,1023
0.3936145939713611,0.38308722606326523,0.36647125148879417,0.32545083880688774,0.3429049161107944,0.8051426574760588,0.7696969696969697,10,4666,C2,1024
0.10085351455591815,0.2601576226048889,0.058472691658138475,0.053596558846790654,0.07815597284287787,0.8156618201430593,0.49240349038085235,10,5451,C2,1025
0.12641206815044645,0.3589985735108576,0.027934672868241903,0.32266966961216514,0.13132065211589955,0.6894542930624352,0.3291402943021916,9,6627,C2,1026
0.029529315569213576,0.2679500699470737,-0.0863506062245818,0.3755226077315934,0.04221917008814821,0.48692212289011927,-0.14817355731532722,10,4259,C2,1027
0.11379384149270962,0.22395117594622663,0.2628522407258654,0.3735558009884335,0.11460299437157792,0.6168870908644987,0.5288778230016562,10,3524,C2,1028
0.15667245219490547,0.2431424801934276,0.04863018881324715,-0.05085630400512757,-0.3517561187326103,0.7950989171142427,0.439032551989755,10,4032,C2,1029
0.21544887617420497,0.24455868675913534,0.11443116487338992,0.14240766297711077,0.1794603455767201,0.7136240321480626,0.24848484848484845,10,3927,C2,1030
0.07552074703485459,0.28162378105455127,-0.09234065462484609,0.45904435294846535,0.38793954664365443,0.5910967041703311,0.011976262619132589,8,3854,C2,1031
0.3340407704388106,0.3693848193412934,0.14432879339651217,0.46555943182663956,0.26170389088739343,0.8788501706079498,0.4559291577600484,10,3490,C2,1032
0.06216475580354471,0.414320573058062,-0.01846105158336968,0.19730645108471392,0.1448290670364454,0.5095461095546092,0.415529446129273,11,3700,C2,1033
0.1366931510167919,0.22501803541555537,0.026499788512095425,0.12495110501113887,0.06311617391920879,0.797961417765561,0.10430233025377429,10,3742,C2,1034
0.07524037117367552,0.21186227631185553,-0.051461001400205514,0.19893670977441183,0.14954906187571868,0.6390096504226938,0.26666666666666666,9,3170,C2,1035
0.014787161336253527,0.24187802988268714,-0.0181758805802513,-0.08344934763015655,0.07195643519766447,0.3892494720807615,0.06686960980480709,10,5565,C2,1036
0.05295043405255052,0.26631685097484725,0.03944200868122819,0.23533380133935367,-0.2750239586003738,0.5477225575051661,0.18410202992625907,9,5330,C2,1037
0.15902812627923854,0.32249130403033804,0.1515446040157268,0.5916207943780359,0.014589861748710936,0.7248011453748541,0.5020964452534339,9,4448,C2,1038
0.1799509990844741,0.3487509261213884,0.1638055361049509,0.371472062159739,-0.4845946027920545,0.7139081384319523,0.6560381485126154,11,3773,C2,1039
0.11518738997081679,0.340452585013651,0.11329566690949963,0.22379386470504894,0.20749390095274167,0.7669383576562359,0.6527253788294639,9,5015,C2,1040
0.1305289641159622,0.23222137675256357,0.22944783879194458,0.34932462529537844,0.4052107285597036,0.7835467939002064,0.6428571428571429,8,5588,C2,1041
0.27336914578832777,0.4680012653938236,0.05630862992909884,0.39620078007904297,0.2097738690465754,0.8581718527846034,0.2613993837824278,10,2602,C2,1042
0.24141362320298265,0.3338284232131562,0.16790850539056207,0.3385131391356025,0.7276224776204339,0.8532469179729295,0.7999999999999999,9,5440,C2,1043
0.12055609671756563,0.32651021678332653,0.10360177871089062,0.21365894419285353,0.018884821939521054,0.7952050661173402,0.6018264882432639,10,6185,C2,1044
0.05275483002292966,0.25498598480646684,-0.019692211638481887,0.361229843917582,0.15944499007895344,0.545544725589981,0.22754898976351917,8,5094,C2,1045
0.1261681876642212,0.24083119129149516,-0.0735265273451623,0.44313203215652114,-0.4369792600728677,0.7303263814053434,0.1158558123306298,10,4069,C2,1046
0.09186411677022169,0.19496476348416508,-0.0013040605800903376,-0.049924796192105665,0.2595695897949589,0.681690972046167,0.4356156145892926,10,3710,C2,1047
0.09592053457831001,0.234299169631385,0.23568400488372626,0.2865904589724928,-0.38805687521671206,0.6380586235753005,0.7744046403152623,10,4863,C2,1048
-0.025421974547125664,0.07082419218140884,-0.23458998237008596,-0.16841085625761032,-0.2991682196426349,-0.02282177322938192,-0.4016771562027471,9,4502,C2,1049
0.3348240366544457,0.22838229019176556,0.36373516588051147,0.35345014707060896,-0.0010495696064861653,0.5520524474738833,0.23928181646454103,10,3110,C2,1050
0.1550474441974633,0.2645869498577674,0.11298525401808233,0.3950730583598208,0.4446974312393348,0.7030047555134388,0.7782494901428224,9,6074,C2,1051
0.10573680468553301,0.2777595497997554,-0.01582236120896236,0.1448704483377595,0.1661757064508102,0.5924223048871672,0.3048837166595521,10,4376,C2,1052
0.22611635465392552,0.24568121131288803,0.04639320222961805,0.14057948784484722,0.2536917799515319,0.7302967433402214,0.10878756313824399,9,4367,C2,1053
0.2652135459825015,0.37565069799468026,0.2586613894655127,0.4335902660360201,0.04060801654195469,0.8970852271450604,0.6166666666666666,9,3531,C2,1054
0.144730577020439,0.28467691979273974,0.07037712973770927,0.4136570799003449,-0.013054483788035798,0.6546536707079772,0.32532481758051895,8,5321,C2,1055
0.03391517263919695,0.1761865850502707,-0.16701407126842205,0.3901088726263097,0.08594656926809095,0.45643546458763845,-0.2034190510862431,9,4164,C2,1056
0.11761886495095122,0.23209802780191388,0.06647713576961527,0.006109697579916069,0.046082438542593245,0.6213377552190162,0.18845071854082002,10,3977,C2,1057
0.048232055289942635,0.21274142181274117,-0.09809282362696387,0.10923038343986964,0.05959631401634994,0.4473240595242436,0.07272727272727274,11,3137,C2,1058
0.1508887990160385,0.1993934681497014,-0.01414246008776245,0.153233139141661,0.05703033791521423,0.7122739723463422,0.2414584852164488,11,2615,C2,1059
0.19010530714287605,0.2756735247183364,0.0957674313685902,0.40460578039571116,0.10941327988514694,0.7950989171142427,0.3780558086578446,10,3350,C2,1060
0.08880444168755193,0.22272327493016864,-0.15426313901268765,-0.028889906269527844,0.00911103735536233,0.681690972046167,-0.012309149097933273,10,3444,C2,1061
-0.09469848933117937,0.22012697831990757,-0.11876978622529574,0.4419320301705019,-0.08251562491529024,0.36456757223825675,0.2735574946560291,10,4366,C2,1062
0.11970107030961065,0.19341434219289236,0.10668385850625128,0.15151382312187264,0.06261311049005235,0.6142709857998429,0.46808726863364974,10,5138,C2,1063
0.09817741306551406,0.1853368153892213,0.015529407210693149,0.07999409894084217,0.0949169468593348,0.6662702784276693,0.26940920133656165,11,3339,C2,1064
0.0009987951966461861,0.21292805839784174,0.02866367794294604,0.49784540709095726,0.2728825265176387,0.31065294709760827,0.33257489473208984,11,3546,C2,1065
0.12428672292100655,0.18070601381575646,0.10463027344990125,0.05987393660372513,-0.333736741729439,0.6359459499326667,0.3465061598976368,10,4287,C2,1066
0.06191639002584108,0.124671103350671,-0.07819381397503368,-0.027034292385682793,0.11506743290511326,0.7745966692414833,0.21666666666666667,9,3702,C2,1067
0.2789842696291702,0.5311439828075417,0.39253805333393765,0.7873746026720907,0.29299270309342934,0.8362641618199185,0.7294866524160775,10,4314,C2,1068
0.40904994222802765,0.3859864833739494,0.10847498028409483,0.5483999928456609,0.5073659214193695,0.9636241116594317,0.4285714285714286,8,3111,C2,1069
0.26794983473010997,0.26940195931455907,0.3740249692193898,0.5254874109560209,0.07000259624393684,0.8181928213868076,0.6443798763008685,10,3317,C2,1070
0.04880542239786883,0.22468707866782503,0.15421409959165494,0.3692023715516145,0.036797690231218004,0.5477225575051661,0.605063380907533,9,5455,C2,1071
0.1314610688015119,0.22599356450772426,0.01861142449210903,0.2802294572843669,0.07593019312532505,0.6238794669049377,0.35146751167740364,9,4281,C2,1072
-0.10557197970290604,0.07831073534699869,-0.06193862786612302,-0.1488802355162626,0.014368985205932824,0.015033864335087178,-0.03189074333047437,11,2965,C2,1073
0.09990407403303796,0.10569352298496147,-0.17638601570631965,0.11341917100692243,0.041806891970627376,0.47049924500615053,0.35757575757575755,10,4263,C2,1074
0.12488029337863314,0.2981872005642548,-0.08265161895330857,0.39237355861505496,0.20426967847351774,0.7950989171142427,0.08510677611520905,10,4839,C2,1075
-0.08219974674609755,0.15633547418152083,-0.15905258400419287,0.25588307923432774,0.19299256611979354,0.19094065395649334,-0.1077863635721933,8,3511,C2,1076
0.23195675382258885,0.3113002896184248,0.20636235446480966,0.2242540523101554,0.3549145638837769,0.8955252139415346,0.7447763937925935,9,4710,C2,1077
0.08576695461757784,0.19870280580663047,-0.0737172677538209,0.050767159233191986,-0.386603596049854,0.5828507794502462,0.06666666666666665,10,3739,C2,1078
0.1055147324482558,0.24704767914147194,0.05298791673015746,0.5414411234876484,-0.421643402754616,0.5778855963970647,0.20501192141019234,11,5259,C2,1079
0.07302449603188087,0.25500471939967306,0.24361760646273073,0.4528439547567135,-0.6238554738029467,0.21499801446559036,0.2121212121212121,10,4468,C2,1080
-0.09304827475126243,0.22356866387417595,-0.17898939298258099,0.41405997838090414,-0.16454306713469588,0.12871918058696766,-0.13445852909056288,9,2965,C2,1081
0.22597543002465606,0.3106778487058748,0.19412675440885055,0.37807001895868025,-0.06941324487193139,0.8758113121817133,0.7781190959104827,10,4416,C2,1082
